AGAF|Afutara Airport|Afutara
KTCC|Tucumcari Municipal Airport|Tucumcari, New Mexico
KTCL|Tuscaloosa Regional Airport|Tuscaloosa, Alabama
KTCM|McChord Air Force Base|Tacoma, Washington
KTCS|Truth or Consequences Municipal Airport|Truth or Consequences, New Mexico
KTCY|Tracy Municipal Airport|Tracy, California
KTDF|Person County Airport|Roxboro, North Carolina
KTDO|Toledo-Winston Carlock Memorial Airport|Toledo, Washington
KTEB|Teterboro Airport|Teterboro, New Jersey
KTEL|Perry County Municipal Airport|Tell City, Indiana
KTEX|Telluride Regional Airport|Telluride, Colorado
KTGI|Tangier Island Airport|Tangier, Virginia
KTHM|Thompson Falls Airport|Thompson Falls, Montana
KTHP|Hot Springs County Municipal Airport|Thermopolis, Wyoming
KTHV|York Airport|York, Pennsylvania
KTIK|Tinker Air Force Base|Oklahoma City, Oklahoma
KTIW|Tacoma Narrows Airport|Tacoma, Washington
KTIX|Space Coast Regional Airport|Titusville, Florida
KTKI|Collin County Regional Airport at McKinney|McKinney, Texas
KTKO|Mankato Airport|Mankato, Kansas
KTLH|Tallahassee Regional Airport|Tallahassee, Florida
KTLR|Mefford Airport|Tulare, California
KTMB|Kendall-Tamiami Executive Airport|Miami, Florida
KTME|Houston Executive Airport|Waller County, Texas
KTNP|Twentynine Palms Airport|Twentynine Palms, California
KTNT|Dade-Collier Training and Transition Airport|Miami, Florida
KTNU|Newton Municipal Airport|Newton, Iowa
KTNX|Tonopah Test Range Airport|Tonopah, Nevada
KTOA|Zamperini Airport|Torrance, California
KTOI|Troy Municipal Airport|Troy, Alabama
KTOL|Toledo Express Airport|Toledo, Ohio
KTOP|Billard Municipal Airport|Topeka, Kansas
KTOR|Torrington Municipal Airport|Torrington, Wyoming
KTPA|Tampa International Airport|Tampa, Florida
KTPF|Peter O. Knight Airport|Davis Island, Tampa, Florida
KTPH|Tonopah Airport|Tonopah, Nevada
KTPL|Draughon-Miller Central Texas Regional Airport|Temple, Texas
KTQE|Tekamah Airport|Tekamah, Nebraska
KTQK|Scott City Municipal Airport|Scott City, Nebraska
KTRI|Tri-Cities Regional Airport|Blountville, Tennessee
KTRK|Truckee-Tahoe Airport|Truckee, California
KTRM|Desert Resorts Regional Airport|Palm Springs, California
KTRX|Trenton Municipal Airport|Trenton, Missouri
KTSP|Tehachapi Municipal Airport|Tehachapi, California
KTTA|Sanford-Lee County Regional Airport|Sanford, North Carolina
KTTD|Troutdale Airport|Portland, Oregon
KTTF|Custer Airport|Monroe, Michigan
KTTN|Trenton-Mercer Airport|Trenton, New Jersey
KTUL|Tulsa International Airport|Tulsa, Oklahoma
KTUP|Tupelo Regional Airport|Tupelo, Mississippi
KTUS|Tucson International Airport|Tucson, Arizona
KTVC|Cherry Capital Airport|Traverse City, Michigan
KTVL|Lake Tahoe Airport|South Lake Tahoe, California
KTVR|Vicksburg|Tallulah Regional Airport
KTVY|Bolinder Field-Tooele Valley Airport|Tooele, Utah
KTWF|Joslin Field - Magic Valley Regional Airport|Twin Falls, Idaho
KTWT|Sturgis Municipal Airport|Sturgis, Kentucky
KTXK|Texarkana Regional Airport-Webb Field|Texarkana, Arkansas
KTYL|Taylor Airport|Taylor, Arizona
KTYQ|Indianapolis Executive Airport|Indianapolis, Indiana
KTYR|Tyler Pounds Regional Airport|Tyler, Texas
KTYS|McGhee Tyson Airport|Knoxville, Tennessee
KTZR|Bolton Field|Columbus, Ohio
KTZT|Belle Plaine Municipal Airport|Belle Plaine, Iowa
KUAO|Aurora State Airport|Aurora, Oregon
KUBE|Cumberland Municipal Airport|Cumberland, Wisconsin
KUBS|Columbus-Lowndes County Airport|Columbus, Mississippi
KUCA|Oneida County Airport|Utica, New York
KUCP|New Castle Municipal Airport|New Castle, Pennsylvania
KUDD|Bermuda Dunes Airport|Palm Springs, California
KUDG|Darlington County Jetport|Darlington, South Carolina
KUES|Waukesha County Airport (Crites Field)|Waukesha, Wisconsin
KUGN|Waukegan Regional Airport|Waukegan, Illinois
KUIL|Quillayute Airport|Quillayute, Washington
KUIN|Quincy Regional Airport|Quincy, Illinois
KUKF|Wilkes County Airport|North Wilkesboro, North Carolina
KUKI|Ukiah Municipal Airport|Ukiah, California
KUKL|Coffey County Airport|Burlington, Kansas
KUKT|Quakertown Airport|Quakertown, Pennsylvania
KULS|Ulysses Airport|Ulysses, Kansas
KUMP|Indianapolis Metropolitan Airport|Fishers, Indiana
KUNI|Gordon K. Bush Airport|Athens / Albany, Ohio
KUNU|Dodge County Airport|Juneau, Wisconsin
KUNV|University Park Airport|University Park, Pennsylvania
KUOS|Franklin County Airport|Sewanee, Tennessee
KUOX|University-Oxford Airport|Oxford, Mississippi
KUTS|Huntsville Municipal Airport|Huntsville, Texas
KUUU|Newport State Airport|Newport, Rhode Island
KUVA|Garner Field|Uvalde, Texas
KUZA|Rock Hill/York County Airport (Bryant Field)|Rock Hill, South Carolina
KVAY|South Jersey Regional Airport|Mount Holly, New Jersey
KVBG|Vandenberg Air Force Base|Lompoc, California
KVBT|Bentonville Municipal Airport|Bentonville, Arkansas
KVBW|Bridgewater Airport|Bridgewater, Virginia
KVCB|Nut Tree Airport|Vacaville, California
KVCT|Victoria Regional Airport|Victoria, Texas
KVCV|Southern California Logistics Airport|Victorville, California
KVDF|Tampa Executive Airport|Tampa, Florida
KVEL|Vernal-Uintah County Airport|Vernal, Utah
KVER|Jesse Viertel Memorial Airport|Boonville, Missouri
KVES|Darke County Airport|Versailles, Ohio
KVGT|North Las Vegas Airport|Las Vegas, Nevada
KVIH|Rolla National Airport|Rolla/Vichy, Missouri
KVIS|Visalia Municipal Airport|Visalia, California
KVJI|Virginia Highlands Airport|Abingdon, Virginia
KVKS|Vicksburg Municipal Airport|Vicksburg, Mississippi
KVKX|Potomac Airfield|Friendly, Maryland
KVLD|Valdosta Regional Airport|Valdosta, Georgia
KVLL|Oakland-Troy Airport|Troy, Michigan
KVMR|Davidson Airport|Vermillion, South Dakota
KVNC|Venice Municipal Airport|Venice, Florida
KVNY|Van Nuys Airport|Van Nuys, California
KVPS|Northwest Florida Regional Airport|Valparaiso, Florida
KVPZ|Porter County Regional Airport|Valparaiso, Indiana
KVQQ|Cecil Field|Jacksonville, Florida
KVRB|Vero Beach Municipal Airport|Vero Beach, Florida
KVSF|Hartness State Airport|Springfield, Vermont
KVTA|Newark-Heath Airport|Newark, Ohio
KVTN|Miller Field|Valentine, Nebraska
KVUJ|Stanly County Airport|Albemarle, North Carolina
KVUO|Pearson Field|Vancouver, Washington
KVVS|Joseph A. Hardy Connellsville Airport|Connellsville, Pennsylvania
KVYS|Illinois Valley Regional Airport (Walter A. Duncan Field)|Peru, Illinois
KWAL|Wallops Flight Facility|Wallops Island, Virginia
KWAY|Greene County Airport|Waynesburg, Pennsylvania
KWBW|Wilkes-Barre Wyoming Valley Airport|Wilkes-Barre, Pennsylvania
KWHP|Whiteman Airport|Los Angeles, California
KWJF|General William J. Fox Airfield|Lancaster, California
KWLD|Strother Field|Winfield, Kansas
KWLW|Willows-Glenn County Airport|Willows, California
KWMC|Winnemucca Municipal Airport|Winnemucca, Nevada
KWRB|Robins Air Force Base|Warner Robins, Georgia
KWRI|McGuire Air Force Base|Wrightstown, New Jersey
KWRL|Worland Municipal Airport|Worland, Wyoming
KWST|Westerly State Airport|Westerly, Rhode Island
KWVI|Watsonville Municipal Airport|Watsonville, California
KWVL|Waterville Robert LaFleur Airport|Waterville, Maine
KWWD|Cape May Airport|Wildwood, New Jersey
KWYS|Yellowstone Airport|West Yellowstone, Montana
KXBP|Bridgeport Municipal Airport|Bridgeport, Texas
KXFL|Flagler County Airport|Bunnell, Florida
KXMR|Cape Canaveral Air Force Station Skid Strip|Cocoa Beach, Florida
KXNA|Northwest Arkansas Regional Airport|Fayetteville / Springdale, Arkansas
KXNO|North Air Force Auxiliary Field|North, South Carolina
KXTA|Nellis Bombing Range Test Site (Area 51)|Groom Lake, Nevada
KXVG|Longville Municipal Airport|Longville, Minnesota
KYIP|Willow Run Airport|Detroit, Michigan
KYKM|Yakima Air Terminal (McAllister Field)|Yakima, Washington
KYKN|Chan Gurney Municipal Airport|Yankton, South Dakota
KYNG|Youngstown-Warren Regional Airport|Youngstown / Warren, Ohio
KZEF|Elkin Municipal Airport|Elkin, North Carolina
KZER|Schuylkill County Airport (Joe Zerbey Field)|Pottsville, Pennsylvania
KZPH|Zephyrhills Municipal Airport|Zephyrhills, Florida
KZUN|Black Rock Airport|Zuni Pueblo, New Mexico
KZZV|Zanesville Municipal Airport|Zanesville, Ohio
LAFK|Tiranë Heliport|Tirana
LAGJ|Gjader Air Base|Gjader
LAKO|Korçë Northwest Airport|Korçë
LAKU|Shaikh Zayed International Airport (Kukës)|Kukës
LAKV|Kuçovë Air Base|Kuçovë
LASK|Shkodër Airport|Shkodër (Shkodra)
LATI|Tirana International Airport Nënë Tereza|Tirana
LBBG|Burgas International Airport (Sarafovo Airport)|Burgas
LBBR|Ravnets Air Base (military)|Ravnets, Burgas Province
LBED|Erden (private)|
LBGO|Gorna Oryahovitsa Airport|Gorna Oryahovitsa
LBHS|Haskovo Malevo Airport|Haskovo
LBIA|Bezmer Air Base (military)|Bezmer, Yambol Province
LBKJ|Kyrdjali|
LBKK|Kazanlyk|
LBLS|Lesnovo (private)|
LBMG|Gabrovnitsa Air Base (military)|Gabrovnitsa (Gabrovnica)
LBMM|Montana|
LBPD|Plovdiv International Airport|Plovdiv
LBPG|Graf Ignatievo Air Base (military)|Graf Ignatievo / Plovdiv
LBPK|Pernik|
LBPL|Dolna Mitropolia Air Base (military)|Dolna Mitropoliia / Pleven
LBPR|Primorsko (private)|
LBPS|Sadovo / Cheshnigirovo|
LBRS|Ruse Airport|Rousse
LBSD|Dobroslavtsi Air Base (military)|Dobroslavtsi (Dobroslavci)
LBSF|Sofia International Airport (Vrazhdebna)|Sofia
LBSL|Sliven Airfield (military)|Sliven
LBSS|Silistra Airfield (military)|Silistra
LBSZ|Stara Zagora International Airport|Stara Zagora
LBTG|Bukhovtsi Airfield (military)|Targovishte
LBTV|Voden|
LBVD|Vidin Airfield (military)|Vidin
LBWB|Balchik Air Base (military)|Balchik
LBWC|Chaika / Varna|
LBWK|Kalimanci / Varna|
LBWN|Varna International Airport|Varna
LCEN|Ercan International Airport|Lefkoşa
LCGK|Geçitkale Air Base|Geçitkale
LCLK|Larnaca International Airport|Larnaca
LCNC|Nicosia International Airport (abandoned)|Nicosia
LCPH|Paphos International Airport|Paphos
LCRA|RAF Akrotiri|Akrotiri
LDDA|Daruvar Airport|Daruvar
LDDD|Zagreb AFTN Airport|Zagreb
LDDP|Ploče Airport|Ploče
LDDU|Dubrovnik Airport|Dubrovnik
LDLO|Lošinj Airport|Lošinj
LDOB|Borovo Airport|Borovo
LDOC|Čepin Airport|Čepin
LDOR|Slavonski Brod Airport|Slavonski Brod
LDOS|Osijek Airport|Osijek
LDPL|Pula Airport|Pula
LDPM|Medulin Airport|Medulin
LDPN|Unije Airport|Unije
LDPV|Vrsar Airport|Vrsar
LDRG|Grobničko Polje Airport|Grobnik
LDRI|Rijeka Airport|Rijeka
LDRO|Otočac Airport|Otočac
LDSB|Bol Airport|Brač
LDSH|Hvar Airport|Hvar
LDSP|Split Airport|Split
LDSS|Sinj Airport|Sinj
LDVA|Varaždin Airport|Varaždin
LDVC|Čakovec Airport|Čakovec
LDVK|Koprivnica Airport|Koprivnica
LDZA|Franjo Tuđman Airport|Zagreb
LDZD|Zadar Airport|Zadar
LDZG|Zagreb City Airport|Zagreb
LDZL|Zagreb Lučko Airport|Zagreb
LDZO|Zagreb ACC Airport|Zagreb
LDZU|Udbina Airport|Udbina
LEAL|Alicante-Elche Airport|Alicante
LEAM|Almería Airport|Almería
LEAS|Asturias Airport|Asturias
LEBA|Córdoba Airport|Córdoba
LEBB|Bilbao Airport|Bilbao
LEBG|Burgos Airport|Burgos
LEBL|Barcelona-El Prat Airport|Barcelona
LEBZ|Badajoz Airport|Badajoz
LECD|La Cerdanya Aerodrome|Catalonia
LECN|Castellón Airport|Castellón
LECO|A Coruña Airport|A Coruña
LECU|Madrid-Cuatro Vientos Airport|Madrid
LEDS|Castellón-Costa Azahar Airport|Castellón
LEGE|Girona-Costa Brava Airport|Girona
LEGR|Federico García Lorca Granada-Jaén Airport|Granada
LEGT|Getafe Air Base|Madrid
LEHC|Huesca-Pirineos Airport|Huesca
LEIB|Ibiza Airport|Islas Baleares
LEJR|Jerez Airport|Cádiz
LELC|Murcia-San Javier Airport|Murcia
LELL|Sabadell Airport|Barcelona
LELN|León Airport|León
LELO|Logroño-Agoncillo Airport|La Rioja
LEMD|Adolfo Suárez Madrid-Barajas Airport|Madrid
LEMG|Málaga-Costa del Sol Airport|Málaga
LEMH|Menorca Airport|Menorca, Islas Baleares
LEPA|Palma de Mallorca Airport|Islas Baleares
LEPP|Pamplona Airport|Navarra
LERE|Requena Aerodrome|Requena / Valencia
LERI|Alcantarilla Base Aérea|Murcia / Militar
LERJ|Logroño-Agoncillo Airport|La Rioja
LERL|Ciudad Real Central Airport - Ciudad Real|
LERS|Reus Airport|Reus / Tarragona
LERT|Naval Station Rota Spain - Cádiz|
LESA|Matacán Airport|Salamanca
LESB|Son Bonet Aerodrome|Islas Baleares
LESL|San Luis Aerodrome|Islas Baleares
LESO|San Sebastián Airport|Gipuzkoa
LEST|Santiago de Compostela Airport|A Coruña
LETO|Madrid-Torrejón Airport|Madrid
LEVC|Valencia Airport|Valencia
LEVD|Valladolid Airport|Valladolid
LEVT|Vitoria Airport|Álava
LEVX|Vigo-Peinador Airport|Vigo, Pontevedra
LEXJ|Santander Airport|Cantabria
LEZG|Zaragoza Airport|Zaragoza
LEZL|San Pablo Airport|Sevilla
LFAB|Dieppe - Saint-Aubin Airport|Dieppe
LFAC|Calais - Dunkerque Airport|Calais, Dunkirk
LFAD|Compiègne - Margny Airport|Compiègne
LFAE|Eu Mers - Le Tréport Airport|Eu, Le Tréport
LFAF|Laon - Chambry Airport|Laon
LFAG|Péronne Saint-Quentin Aerodrome|Péronne
LFAI|Nangis - Les Loges aerodrome|Nangis
LFAJ|Argentan Airport|Argentan
LFAK|Dunkerque|Les Moëres Airport
LFAL|La Flèche|Thorée Les Pins Airport
LFAM|Berck-sur-Mer Airport|Berck
LFAO|Bagnoles-de-l'Orne Airport|Bagnoles-de-l'Orne
LFAP|Rethel - Perthes Airport|Rethel
LFAQ|Albert|Picardie Airport
LFAR|Montdidier Airport|Montdidier
LFAS|Falaise - Monts d'Eraines Airport|Falaise
LFAT|Le Touquet-Paris-Plage Airport|Le Touquet
LFAU|Vauville Airport|Vauville
LFAV|Denain Airport|Valenciennes
LFAW|Villerupt Airport|Villerupt
LFAX|Mortagne-au-Perche Airport|Mortagne-au-Perche
LFAY|Amiens|Glisy Aerodrome
LFAZ|Saint-Brieuc Airport|Saint-Brieuc
LFBA|Agen|La Garenne Aerodrome
LFBD|Bordeaux|Mérignac Airport
LFBE|Bergerac Dordogne Périgord Airport|Bergerac
LFBG|Cognac|Châteaubernard Air Base
LFBH|La Rochelle|Île de Ré Airport
LFBI|Poitiers|Biard Airport
LFBJ|Saint-Junien - Airport|Saint-Junien
LFBK|Montluçon|Guéret Airport
LFBL|Limoges|Bellegarde Airport
LFBM|Mont-de-Marsan Airport|Mont-de-Marsan
LFBN|Niort - Souche Airport|Niort
LFBO|Toulouse - Blagnac Airport|Toulouse
LFBP|Pau - Pyrenees Airport|Pau, Pyrenees
LFBR|Muret - Lherm Airport|Muret, Lherm
LFBS|Biscarrosse - Parentis Airport|Biscarrosse
LFBT|Tarbes - Lourdes Pyrenees Airport|Tarbes
LFBU|Angoulême - Brie Champniers Airport|Angoulême
LFBV|Brive - La Roche Airport|Brive-la-Gaillarde
LFBX|Périgueux - Bassillac Airport|Périgueux
LFBY|Dax - Seyresse Airport|Dax
LFBZ|Biarritz-Bayonne - Anglet Airport|Biarritz, Bayonne, Anglet
LFCA|Châtellerault|Targé Airport
LFCB|Bagnères-de-Luchon Airport|Bagnères-de-Luchon
LFCC|Cahors Lalbenque Airport|Cahors
LFCD|Andernos-les-Bains Airport|Andernos-les-Bains
LFCE|Guéret|Saint-Laurent Airport
LFCF|Figeac Livernon Airport|Figeac
LFCG|Saint-Girons Antichan Airport|Saint-Girons
LFCH|Arcachon|La Teste-de-Buch Airport
LFCI|Albi|Le Sequestre Airport
LFCJ|Jonzac|Neulles Airport
LFCK|Castres|Mazamet Airport
LFCL|Toulouse|Lasbordes Airport
LFCM|Millau-Larzac Airport|Millau
LFCN|Nogaro Airport|Nogaro
LFCO|Oloron|Herrère Airport
LFCP|Pons|Avy Airport
LFCQ|Graulhet|Montdragon Airport
LFCR|Rodez Marcillac Airport|Rodez
LFCS|Bordeaux|Léognan
LFCT|Thouars Airport|Thouars
LFCU|Ussel|Thalamy Airport
LFCV|Villefranche-de-Rouergue Airport|Villefranche-de-Rouergue
LFCW|Villeneuve-sur-Lot Airport|Villeneuve-sur-Lot
LFCX|Castelsarrazin|Moissac Airport
LFCY|Royan|Medis Airport
LFCZ|Mimizan Airport|Mimizan
LFDA|Aire-sur-l'Adour Airport|Aire-sur-l'Adour
LFDB|Montauban Airport|Montauban
LFDC|Montendre|Marcillac Airport
LFDE|Egletons Airport|Égletons
LFDF|Sainte-Foy-la-Grande Airport|Sainte-Foy-la-Grande
LFDG|Gaillac|Lisle-sur-Tarn Airport
LFDH|Auch|Lamothe Airport
LFDI|Libourne|Artigues-de-Lussac Airport
LFDJ|Pamiers|Les Pujols Airport
LFDK|Soulac-sur-Mer Airport|Soulac-sur-Mer
LFDL|Loudun Airport|Loudun
LFDM|Marmande|Virazeil Airport
LFDN|Rochefort|Saint-Agnant Airport
LFDP|Saint-Pierre-d'Oléron Airport|Saint-Pierre-d'Oléron
LFDQ|Castelnau-Magnoac Airport|Castelnau-Magnoac
LFDR|La Réole|Floudes Airport
LFDS|Sarlat|Domme Airport
LFDT|Tarbes|Laloubère Airport
LFDU|Lesparre|Saint-Laurent-de-Médoc Airport
LFDV|Couhé|Vérac Airport
LFDW|Chauvigny Airport|Chauvigny
LFDX|Fumel|Montayral Airport
LFDY|Bordeaux|Yvrac Airport
LFEA|Belle Île Airport|Belle Île
LFEB|Dinan Trelivan Airport|Dinan
LFEC|Ouessant Airport|Ushant
LFED|Pontivy Airport|Pontivy
LFEF|Amboise Dierre Airport|Amboise
LFEG|Argenton-sur-Creuse Airport|Argenton-sur-Creuse
LFEH|Aubigny-sur-Nère Airport|Aubigny-sur-Nère
LFEI|Briare Châtillon Airport|Briare
LFEJ|Châteauroux Villers Airport|Châteauroux
LFEK|Issoudun Le Fay Airport|Issoudun
LFEL|Le Blanc Airport|Le Blanc
LFEM|Montargis Vimory Airport|Montargis
LFEN|Tours Sorigny Airport|Tours
LFEO|Saint-Servan Airport|Saint-Malo
LFEP|Pouilly Maconge Airport|Pouilly-en-Auxois
LFEQ|Quiberon Airport|Quiberon
LFER|Redon Bains-sur-Oust Airport|Redon
LFES|Guiscriff Scaer Airport|Guiscriff
LFET|Til-Châtel Airport|Til-Châtel
LFEU|Bar-le-Duc Airport|Bar-le-Duc
LFEV|Gray Saint-Adrien Airport|Gray
LFEW|Saulieu Liernais Airport|Saulieu
LFEX|Nancy Azelot Airport|Nancy
LFEY|Île d'Yeu Airport|Île d'Yeu
LFEZ|Nancy Malzeville Airport|Nancy
LFFB|Buno Bonnevaux Airport|Buno
LFFC|Mantes Cherence Airport|Mantes-la-Jolie
LFFD|Saint-André-de-l'Eure Airport|Saint-André-de-l'Eure
LFFE|Enghien Moisselles Airport|Enghien
LFFG|La Ferté-Gaucher Airport|La Ferté-Gaucher
LFFH|Château-Thierry Belleau Airport|Château-Thierry
LFFI|Ancenis Airport|Ancenis
LFFJ|Joinville Mussey Airport|Joinville
LFFK|Fontenay-le-Comte Airport|Fontenay-le-Comte
LFFL|Bailleau-Armenonville Airport|Bailleau-Armenonville
LFFM|Lamotte-Beuvron Airport|Lamotte-Beuvron
LFFN|Brienne-le-Château Airport|Brienne-le-Château
LFFP|Pithiviers Airport|Pithiviers
LFFQ|La Ferté-Alais Airport|La Ferté-Alais
LFFR|Bar-sur-Seine Airport|Bar-sur-Seine
LFFT|Neufchâteau Airport|Neufchâteau
LFFU|Châteauneuf-sur-Cher Airport|Châteauneuf-sur-Cher
LFFV|Vierzon Mereau Airport|Vierzon
LFFW|Montaigu|Saint-Georges Airport
LFFX|Tournus Cruisery Airport|Tournus
LFFY|Étrépagny Airport|Étrépagny
LFFZ|Sézanne|Saint-Remy Airport
LFGA|Colmar Houssen Airport|Colmar
LFGB|Mulhouse Habsheim Airport|Mulhouse
LFGC|Strasbourg Neuhof Airport|Strasbourg
LFGD|Arbois Airport|Arbois
LFGE|Avallon Airport|Avallon
LFGF|Beaune Challanges Airport|Beaune
LFGG|Belfort Chaux Airport|Belfort
LFGH|Cosne-sur-Loire Airport|Cosne-Cours-sur-Loire
LFGI|Dijon Darois Airport|Dijon
LFGJ|Dôle-Tavaux Airport|Dole
LFGK|Joigny Airport|Joigny
LFGL|Lons-le-Saunier Courlaoux Airport|Lons-le-Saunier
LFGM|Montceau-les-Mines Pouilloux Airport|Montceau-les-Mines
LFGN|Paray-le-Monial Airport|Paray-le-Monial
LFGO|Pont-sur-Yonne Airport|Pont-sur-Yonne
LFGP|Saint-Florentin Cheu Airport|Saint-Florentin
LFGQ|Semur-en-Auxois Airport|Semur-en-Auxois
LFGR|Doncourt-lès-Conflans Airport|Doncourt-lès-Conflans
LFGS|Longuyon Villette Airport|Longuyon
LFGT|Sarrebourg Buhl Airport|Sarrebourg
LFGU|Sarreguemines Neunkirch Airport|Sarreguemines
LFGV|Thionville Yutz Airport|Thionville
LFGW|Verdun-Le-Rozelier Airport|Verdun
LFGX|Champagnole Crotenay Airport|Champagnole
LFGY|Saint-Dié Remomeix Airport|Saint-Dié
LFGZ|Nuits-Saint-Georges Airport|Nuits-Saint-Georges
LFHA|Issoire Le Broc Airport|Issoire
LFHC|Pérouges Meximieux Airport|Pérouges
LFHD|Pierrelate Airport|Pierrelatte
LFHE|Romans Saint-Paul Airport|Romans-sur-Isère
LFHF|Ruoms Airport|Ruoms
LFHG|Saint-Chamond L'Horme Airport|Saint-Chamond
LFHH|Vienne Reventin Airport|Vienne
LFHI|Morestel Airport|Morestel
LFHJ|Lyon Corbas Airport|Lyon
LFHL|Langogne Lesperon Airport|Langogne
LFHM|Megève Airport|Megève
LFHN|Bellegarde - Vouvray Airport|Bellegarde
LFHO|Aubenas Ardèche Méridionale Aerodrome|Aubenas
LFHP|Le Puy|Loudes Airport
LFHQ|Saint-Flour Coltines Airport|Saint-Flour
LFHR|Brioude Beaumont Airport|Brioude
LFHS|Bourg|Ceyzériat Airport
LFHT|Ambert Le Poyet Airport|Ambert
LFHU|L'Alpe d'Huez Airport|L'Alpe d'Huez
LFHV|Villefranche Tarare Airport|Tarare
LFHW|Belleville Villié-Morgon Airport|Belleville, Rhône
LFHX|Lapalisse Périgny Airport|Lapalisse
LFHY|Moulins Montbeugny Airport|Moulins
LFHZ|Sallanches Mont-Blanc Airport|Sallanches
LFIB|Belvès Saint-Pardoux Airport|Belvès
LFID|Condom Valence-sur-Baïse Airport|Condom
LFIF|Saint-Affrique Belmont Airport|Saint-Affrique
LFIG|Cassagnes-Béghonès Airport|Cassagnes-Bégonhès
LFIH|Chalais Airport|Chalais
LFIK|Ribérac Saint-Aulaye Airport|Ribérac
LFIL|Rion-des-Landes Airport|Rion-des-Landes
LFIM|Saint-Gaudens Montrejeau Airport|Saint-Gaudens
LFIO|Toulouse-Montaudran Airport|Toulouse-Montaudran
LFIP|Peyresourde Balestas Airport|Peyresourde
LFIR|Revel Montgey Airport|Revel
LFIT|Toulouse Bourg-Saint-Bernard Airport|Toulouse
LFIV|Vendays-Montalivet Airport|Vendays-Montalivet
LFIX|Itxassou Airport|Itxassou
LFIY|Saint-Jean-d'Angély Airport|Saint-Jean-d'Angély
LFJA|Chaumont Semoutiers Airport|Chaumont
LFJB|Mauléon Airport|Mauléon
LFJC|Clamecy Airport|Clamecy
LFJD|Corlier Aerodrome|Corlier
LFJE|La Motte-Chalancon Airport|La Motte-Chalancon
LFJF|Aubenasson Airport|Aubenasson
LFJH|Cazères Palaminy Airport|Cazères
LFJI|Marennes Airport|Marennes
LFJL|Metz Nancy Lorraine Airport|Metz
LFJR|Angers - Loire Airport|Angers
LFJS|Soissons Courmelles Airport|Soissons
LFJT|Tours Le Louroux Airport|Tours
LFJU|Lurcy Levis Airport|Lurcy
LFKA|Albertville Airport|Albertville
LFKB|Bastia Poretta Airport|Bastia
LFKC|Calvi Sainte-Catherine Airport|Calvi
LFKD|Sollières-Sardières Airport|Sollières-Sardières
LFKE|Saint-Jean-en-Royans Airport|Saint-Jean-en-Royans
LFKF|Figari Sud Corse Airport|Figari
LFKG|Ghisonaccia Alzitone Airport|Ghisonaccia
LFKH|Saint-Jean-d'Avelanne Airport|Saint-Jean-d'Avelanne
LFKJ|Ajaccio Campo dell'Oro Airport|Ajaccio
LFKL|Lyon Brindas Airport|Lyon
LFKM|Saint-Galmier Airport|Saint-Galmier
LFKO|Propriano Airport|Propriano
LFKP|La Tour-du-Pin Cessieu Airport|La Tour-du-Pin
LFKS|Solenzara Airport|Solenzara
LFKT|Corte Airport|Corte
LFKX|Meribel Bois-des-Fraisses Airport|Méribel
LFKY|Belley Peyrieu Airport|Belley
LFKZ|Saint-Claude Pratz Airport|Saint-Claude
LFLA|Auxerre Branches Airport|Auxerre
LFLB|Chambéry Airport|Chambéry, Aix-les-Bains
LFLC|Clermont-Ferrand Auvergne Airport|Clermont-Ferrand
LFLD|Bourges Airport|Bourges
LFLE|Chambéry - Challes-les-Eaux Airport|Chambéry
LFLG|Grenoble - Le Versoud Aerodrome|Grenoble
LFLH|Chalon Champforgeuil Airport|Chalon-sur-Saône
LFLI|Annemasse Airport|Annemasse
LFLJ|Courchevel Airport|Courchevel
LFLK|Oyonnax Arbent Airport|Oyonnax
LFLL|Lyon-Saint Exupéry Airport (formerly Satolas Airport)|Lyon
LFLM|Mâcon Charnay Airport|Mâcon
LFLN|Saint-Yan Airport|Saint-Yan
LFLO|Roanne Renaison Airport|Roanne
LFLP|Annecy Meythet Airport|Annecy
LFLQ|Montélimar Ancone Airport|Montélimar
LFLR|Saint-Rambert-d'Albon Airport|Saint-Rambert-d'Albon
LFLS|Grenoble Saint-Geoirs Airport|Grenoble
LFLT|Montluçon|Domérat Airport
LFLU|Valence-Chabeuil Airport|Valence
LFLV|Vichy Charmeil Airport|Vichy
LFLW|Aurillac|Tronquières Airport
LFLX|Châteauroux-Déols Airport|Châteauroux, Déols
LFLY|Lyon Bron Airport|Lyon
LFLZ|Feurs|Chambéon Airport
LFMA|Aix Les Milles Airport|Aix-les-Milles
LFMC|Le Luc - Le Cannet Airport|Le Luc
LFMD|Cannes Mandelieu Airport|Cannes
LFME|Nîmes Courbessac Airport|Nîmes
LFMF|Fayence-Tourrettes Airfield|Fayence
LFMG|La Montagne Noire Airport|Montagne Noire
LFMH|Saint-Étienne Bouthéon Airport|Saint-Étienne
LFMI|Istres Le Tube Airport|Istres
LFMK|Carcassonne Salvaza Airport|Carcassonne
LFML|Marseille Provence Airport|Marseille
LFMM|Marseille FIR|Aix-en-Provence
LFMN|Nice Côte d'Azur Airport|Nice
LFMO|Orange Caritat Airport|Orange
LFMP|Perpignan Rivesaltes Airport|Perpignan
LFMQ|Le Castellet Airport|Le Castellet
LFMR|Barcelonnette|Saint-Pons Airport
LFMS|Alès Deaux Airport|Alès
LFMT|Montpellier-Méditerranée Airport|Montpellier
LFMU|Béziers-Agde-Vias Airport|Béziers
